Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,Towards Serverless (FaaS) as the next step in Infrastructure-as-a-Service (IaaS) evolution,Software Engineering,https://medium.com/@eisenzopf/towards-serverless-faas-as-the-next-step-in-infrastructure-as-a-service-iaas-evolution-ef5227926bb6?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,Selenide in Testing Process Automatisation through Selenoid in the Docker Container,Software Engineering,https://medium.com/@alexander_sivov/selenide-in-testing-process-automatisation-through-selenoid-in-the-docker-container-48e659d2ee72?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,UrbanNoise first steps — GraphQL introduction,Software Engineering,https://medium.com/urbannoise/urbannoise-first-steps-graphql-introduction-8e43fa9e741f?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,Azure Kubernetes Service — why you should take care of your nodes,Software Engineering,https://medium.com/01001101/azure-kubernetes-service-why-you-should-take-care-of-your-nodes-62db3d373244?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,Python Tuples and Tuple Methods,Software Engineering,https://medium.com/@GalarnykMichael/python-tuples-and-tuple-methods-4817a6bb6fff?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,Fantastic Probes And How To Configure Them,Software Engineering,https://medium.com/@ricardoalkain/fantastic-probes-and-how-to-configure-them-fef7e030bd2f?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,How to Set Kubernetes Resource Requests and Limits — A Saga to Improve Cluster Stability and…,Software Engineering,https://itnext.io/how-to-set-kubernetes-resource-requests-and-limits-a-saga-to-improve-cluster-stability-and-a7b1800ecff1?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,The Magic of Shazam,Software Engineering,https://medium.com/@durutheguru/the-magic-of-shazam-7d06cd5963c6?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,Minimize Your Git Branches,Software Engineering,https://medium.com/@cheopys/minimize-your-git-branches-7b70a3000077?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,Using The Contentful CMS In Angular,Software Engineering,https://medium.com/callibrity/using-the-contentful-cms-in-angular-f0f7bd7c9cde?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,DataOps: Building Trust in Data through Automated Testing,Software Engineering,https://medium.com/@dlaytonj2/dataops-building-trust-in-data-through-automated-testing-d26098dd7fbb?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,"Why “bug free” is a fairly ridiculous assertion, and what to aim for instead",Software Engineering,https://medium.com/@SoftwareReality/why-bug-free-is-a-fairly-ridiculous-assertion-and-what-to-aim-for-instead-5af830eee839?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,The Results of a Comparison Between 5 CI/CD Services,Software Engineering,https://medium.com/better-programming/the-results-of-a-comparison-between-5-ci-cd-services-8d1a5c4d185a?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,Automate a Telegram Bot to Send Daily Messages in Fewer Than 40 Lines of Python Code,Software Engineering,https://medium.com/better-programming/automate-a-telegram-bot-to-send-daily-messages-in-less-than-40-lines-of-python-code-e81858d15854?source=topic_page---------14------------------1,-
Medium.com,Innovation & Tech,Building an Image Downloader With Multiprocessing in Python,Software Engineering,https://medium.com/better-programming/building-an-imagedownloader-with-multiprocessing-in-python-44aee36e0424?source=topic_page---------15------------------1,-
Medium.com,Innovation & Tech,The True Cost of Technical Debt,Software Engineering,https://medium.com/better-programming/the-true-cost-of-technical-debt-265f198b1e0b?source=topic_page---------16------------------1,-
Medium.com,Innovation & Tech,Communicating Technical Debt,Software Engineering,https://medium.com/better-programming/communicating-technical-debt-82b82dd528d1?source=topic_page---------17------------------1,-
Medium.com,Innovation & Tech,RESTful API Designing Guidelines — The Best Practices,Software Engineering,https://medium.com/better-programming/restful-api-designing-guidelines-the-best-practices-39454135f61?source=topic_page---------18------------------1,-
Medium.com,Innovation & Tech,The 3 Realizations That Made Me a Better Programmer,Software Engineering,https://medium.com/better-programming/the-3-realizations-that-made-me-a-better-programmer-af7d1bcab4d3?source=topic_page---------19------------------1,-
Medium.com,Innovation & Tech,When to Use Event Sourcing,Software Engineering,https://medium.com/better-programming/when-to-use-event-sourcing-d001e4bab691?source=topic_page---------20------------------1,-
Medium.com,Innovation & Tech,Working With Sitemaps in Nuxt.js,Software Engineering,https://medium.com/better-programming/nuxt-js-working-with-sitemaps-518ee7d657c8?source=topic_page---------21------------------1,-
Medium.com,Innovation & Tech,Local K3s Cluster Made Easy With Multipass,Software Engineering,https://medium.com/better-programming/local-k3s-cluster-made-easy-with-multipass-108bf6ce577c?source=topic_page---------22------------------1,-
Medium.com,Innovation & Tech,Quines: Programs that Output Their Own Source Code,Software Engineering,https://medium.com/@cosinekitty/quines-programs-that-output-their-own-source-code-861502be9479?source=topic_page---------23------------------1,-
Medium.com,Innovation & Tech,How To Build Your First Travis CI/CD Pipeline,Software Engineering,https://medium.com/better-programming/how-to-build-your-first-travis-ci-cd-pipeline-4ee180222819?source=topic_page---------24------------------1,-
Medium.com,Innovation & Tech,How to Set Up Continuous Integration & Delivery (CI/CD),Software Engineering,https://blog.bitsrc.io/how-to-set-up-continuous-integration-delivery-ci-cd-1e50190e4fc8?source=topic_page---------25------------------1,-
Medium.com,Innovation & Tech,Know Kubernetes — Pictorially,Software Engineering,https://medium.com/tarkalabs/know-kubernetes-pictorially-f6e6a0052dd0?source=topic_page---------26------------------1,-
Medium.com,Innovation & Tech,5 Things You Need To Stop Doing in Interviews,Software Engineering,https://medium.com/swlh/5-things-you-need-to-stop-doing-in-interviews-ab0520d27824?source=topic_page---------27------------------1,-
Medium.com,Innovation & Tech,Foldable Devices: Should We Care?,Software Engineering,https://medium.com/swlh/foldable-devices-should-we-care-a847f37126f8?source=topic_page---------28------------------1,-
Medium.com,Innovation & Tech,Wine Not Build a Bot? 🍷,Software Engineering,https://medium.com/microsoftazure/wine-not-build-a-bot-8ebea9ef95c7?source=topic_page---------29------------------1,-
Medium.com,Innovation & Tech,How To Ask a Question That Gets Answered on Stack Overflow,Software Engineering,https://medium.com/better-programming/how-to-ask-a-question-that-gets-answered-on-stack-overflow-45f87f1a2fef?source=topic_page---------30------------------1,-
Medium.com,Innovation & Tech,From Dev to Prod - All you need to know to get your Flask application running on AWS,Software Engineering,https://towardsdatascience.com/from-dev-to-prod-all-you-need-to-know-to-get-your-flask-application-running-on-aws-ecedd4eec55?source=topic_page---------31------------------1,-
Medium.com,Innovation & Tech,Run a Scheduled Task Using AWS Fargate With CI/CD,Software Engineering,https://medium.com/better-programming/run-a-scheduled-task-using-aws-fargate-with-ci-cd-fe77f20aeb2b?source=topic_page---------32------------------1,-
Medium.com,Innovation & Tech,Iteration In Product Development: What It Is And How To Do It Effectively,Software Engineering,https://medium.com/rocket-startup/iteration-in-product-development-what-it-is-and-how-to-do-it-effectively-c34b6ef53bc5?source=topic_page---------33------------------1,-
Medium.com,Innovation & Tech,Handling Forms in Flask with Flask-WTF,Software Engineering,https://hackingandslacking.com/handling-forms-in-flask-with-flask-wtf-167b76f2d6d3?source=topic_page---------34------------------1,-
