Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,Instant Runoff Voting: A Ballot Ballad,Poetry,https://medium.com/resistance-poetry/instant-runoff-voting-a-ballot-ballad-5145175b747f?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,Deliverance,Poetry,https://psiloveyou.xyz/deliverance-d5a2b64bd50a?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,Process,Poetry,https://poetry-in-form.com/process-f09ece10c3fd?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,Tang On My Tongue,Poetry,https://medium.com/invisible-illness/tang-on-my-tongue-e690ffa564fc?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,You Call Me,Poetry,https://medium.com/lit-up/you-call-me-3eb41b2a0d6?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,Traveling with a Secret,Poetry,https://medium.com/lit-up/traveling-with-a-secret-8919513dc5c6?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,Husk,Poetry,https://medium.com/lit-up/husk-175586228cff?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,Objects in mirror are closer to the end than they appear,Poetry,https://medium.com/from-the-poets-heart/objects-in-mirror-are-closer-to-the-end-than-they-appear-bb04eca7670b?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,The Hawk Realm,Poetry,https://medium.com/storymaker/the-hawk-realm-b33eddc30f8d?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,The Therapist,Poetry,https://medium.com/no-crime-in-rhymin/the-therapist-e932e33019ce?source=topic_page---------10------------------1,-
Medium.com,Arts & Entertainment,Warrior Face,Poetry,https://medium.com/the-dream-verse/warrior-face-353c2ea6e063?source=topic_page---------11------------------1,-
Medium.com,Arts & Entertainment,Refining the Truth,Poetry,https://medium.com/@ottiliemax/refining-the-truth-b7b23e62d2bf?source=topic_page---------12------------------1,-
Medium.com,Arts & Entertainment,Fear No More,Poetry,https://medium.com/blueinsight/fear-no-more-dc2e5df8fef1?source=topic_page---------13------------------1,-
Medium.com,Arts & Entertainment,Intrusion of Winter,Poetry,https://medium.com/fiddleheads-floss/intrusion-of-winter-32aa109f5578?source=topic_page---------14------------------1,-
Medium.com,Arts & Entertainment,Wasted flames,Poetry,https://medium.com/@nunorfpt/wasted-flames-e8474f92f839?source=topic_page---------15------------------1,-
Medium.com,Arts & Entertainment,Autumn Deaths,Poetry,https://medium.com/@paulaustinmurphy2000/autumn-deaths-5d973346c08?source=topic_page---------16------------------1,-
Medium.com,Arts & Entertainment,I Thought I Wanted to Be a Princess,Poetry,https://medium.com/an-injustice/i-thought-i-wanted-to-be-a-princess-ee137523100d?source=topic_page---------17------------------1,-
Medium.com,Arts & Entertainment,Holes— a Free Verse Poem Response,Poetry,https://medium.com/fiddleheads-floss/holes-a-free-verse-poem-response-dcbadf152519?source=topic_page---------18------------------1,-
Medium.com,Arts & Entertainment,Autumn haste,Poetry,https://medium.com/house-of-haiku/autumn-haste-e1d0fcfba93c?source=topic_page---------19------------------1,-
Medium.com,Arts & Entertainment,Aching Melodies,Poetry,https://medium.com/afwp/aching-melodies-ac08b0dfad33?source=topic_page---------20------------------1,-
Medium.com,Arts & Entertainment,How to Build Palaces Out of Paragraphs,Poetry,https://psiloveyou.xyz/how-to-build-palaces-out-of-paragraphs-8cbab66a5796?source=topic_page---------21------------------1,-
Medium.com,Arts & Entertainment,Ellen,Poetry,https://medium.com/blueinsight/ellen-b29ba2697589?source=topic_page---------22------------------1,-
