Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,10 Easy Steps to Writing a Blog Post,Writing,https://medium.com/@tiffanyrayconnolly/10-steps-to-writing-a-blog-post-f6026776149?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,Writing Superhero Movies,Writing,https://medium.com/storiusmag/writing-superhero-movies-3575a5e5a958?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,"Writing, Not Writing",Writing,https://medium.com/@charliebartlett/writing-not-writing-b52fd0fd6ede?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,How to Write Great Dialog,Writing,https://writingcooperative.com/how-to-write-great-dialog-ca5c94976bd4?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,The Good Writer-Citizen,Writing,https://writingcooperative.com/the-good-writer-citizen-75baf988e4a8?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,"We Write to Heal, So How Do We Heal from Writing?",Writing,https://medium.com/the-brave-writer/we-write-to-heal-so-how-do-we-heal-from-writing-ab5c4839e970?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,Recharging a Writer’s Muse,Writing,https://medium.com/thirty-over-fifty/recharging-a-writers-muse-2ec75944dbe1?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,Politics Isn’t My Passion,Writing,https://medium.com/@lizardgrey/politics-isnt-my-passion-aa429b0ced1a?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,How to Write Like a Thought Leader,Writing,https://medium.dave-bailey.com/how-to-write-like-a-thought-leader-d27b56503277?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,7 Copywriting Lessons From “The Boron Letters” You Can Learn in Just 4 Minutes,Writing,https://medium.com/better-marketing/7-copywriting-lessons-from-the-boron-letters-you-can-learn-in-just-4-minutes-f5e9f9eb7888?source=topic_page---------10------------------1,-
Medium.com,Arts & Entertainment,Write Better Programming Tutorials,Writing,https://medium.com/better-programming/write-better-programming-tutorials-5619b9cf5ca2?source=topic_page---------11------------------1,-
Medium.com,Arts & Entertainment,Sales Letters Are Just Like Love Letters,Writing,https://medium.com/better-marketing/sales-letters-are-just-like-love-letters-119d49bdd960?source=topic_page---------12------------------1,-
Medium.com,Arts & Entertainment,How To Sound More Like Yourself When You Write,Writing,https://medium.com/better-marketing/how-to-sound-more-like-yourself-when-you-write-8065768b169a?source=topic_page---------13------------------1,-
Medium.com,Arts & Entertainment,"How To Make $5,000 From a Single Blog Post",Writing,https://medium.com/better-marketing/how-to-make-5-000-from-a-single-blog-post-b1e6d69ef298?source=topic_page---------14------------------1,-
Medium.com,Arts & Entertainment,"50 Gift Ideas for the Writers, Bloggers, and Entrepreneurs in Your Life",Writing,https://medium.com/better-marketing/50-gift-ideas-for-the-writers-bloggers-and-entrepreneurs-in-your-life-8870efd96645?source=topic_page---------15------------------1,-
Medium.com,Arts & Entertainment,Saved by the Books,Writing,https://medium.com/publishous/saved-by-the-books-949d10261467?source=topic_page---------16------------------1,-
Medium.com,Arts & Entertainment,Hitting the Writing Wall,Writing,https://medium.com/swlh/so-youve-hit-the-writing-wall-7d6e3e67950a?source=topic_page---------17------------------1,-
