Source,Domain,Heading,Category,URL,Text
Medium.com,Society,Your Immigrant Ancestors were probably “Illegal” too — there just weren’t laws when they came to…,Immigration,https://medium.com/@MarieMyungOkLee/your-immigrant-ancestors-were-probably-illegal-too-there-just-werent-laws-when-they-came-to-d2a6536ec20e?source=topic_page---------0------------------1,-
Medium.com,Society,"Uighurs in NL, the forgotten refugees",Immigration,https://medium.com/@vittoriamalgi/uighurs-in-nl-the-forgotten-refugees-4496445693bc?source=topic_page---------1------------------1,-
Medium.com,Society,The two contrasting sides of German refugee policy,Immigration,https://medium.com/@newhumanitarian/the-two-contrasting-sides-of-german-refugee-policy-2056212b929c?source=topic_page---------2------------------1,-
Medium.com,Society,The US Needs To Update H-1B Visas Laws,Immigration,https://medium.com/swlh/h1b-visa-b82ecdc0bf3b?source=topic_page---------4------------------1,-
Medium.com,Society,It Has Been 30 Years Since the Berlin Wall Fell,Immigration,https://medium.com/@vrob125/it-has-been-30-years-since-the-berlin-wall-fell-d0dee4eb730c?source=topic_page---------5------------------1,-
Medium.com,Society,A Brief Dark History of Adoption,Immigration,https://medium.com/@demanuelclemen/a-brief-dark-history-of-adoption-217f2e3d5a64?source=topic_page---------6------------------1,-
Medium.com,Society,Migrant Children: An American Commodity,Immigration,https://medium.com/@ExtremeArturo/migrant-children-an-american-commodity-a65b0080abc?source=topic_page---------7------------------1,-
Medium.com,Society,Why (This) Impeachment Doesn’t Do Justice to American Fascism,Immigration,https://eand.co/why-this-impeachment-doesnt-do-justice-to-american-fascism-d7800bbcd01c?source=topic_page---------8------------------1,-
Medium.com,Society,America’s Whitest State Welcomes Black Immigrants (and Elects Them Too) — Political Religions,Immigration,https://medium.com/breakthrough1/americas-whitest-state-welcomes-black-immigrants-and-elects-them-too-political-religions-81eaadedfb2a?source=topic_page---------9------------------1,-
Medium.com,Society,Immigration and Me,Immigration,https://medium.com/@novelly/immigration-and-me-a13042c95c3f?source=topic_page---------10------------------1,-
Medium.com,Society,The transaction of immigration,Immigration,https://medium.com/@ngmichelle/the-transaction-of-immigration-8d0d21e0505b?source=topic_page---------11------------------1,-
