Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,DAOs And Ownerless Organizations,Blockchain,https://medium.com/the-green-light/daos-and-ownerless-organizations-c7c30ec826f7?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,Neo the Blockchain for Developers — Market Mad House,Blockchain,https://medium.com/swlh/neo-the-blockchain-for-developers-market-mad-house-b96b82761ae4?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,Lightning payment channels — a flavor for every palette,Blockchain,https://medium.com/breez-technology/lightning-payment-channels-a-flavor-for-every-palette-53cb975907ea?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,Microsoft’s Ethereum-based token on Azure solidifies humanity’s assimilation into the Borg,Blockchain,https://medium.com/swlh/microsofts-ethereum-based-token-on-azure-solidifies-humanity-s-assimilation-into-the-borg-1549e80e2df3?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,Tokenized Securities Rise In The East,Blockchain,https://medium.com/altcoin-magazine/tokenized-securities-rise-in-the-east-3b7696ee5d57?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,"Dear Blockchain, You Were Not the First Decentralized Network.",Blockchain,https://medium.com/swlh/dear-blockchain-you-were-not-the-first-decentralized-network-65a37b5ed393?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,Blockchain: it’s not the thing.,Blockchain,https://medium.com/swlh/bitcoin-its-not-the-thing-af111d341263?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,SPV proofs explained,Blockchain,https://medium.com/coinmonks/spv-proofs-explained-f38f8bb8f580?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,"The Law, Blockchain, and Smart Contract: From the EU Blockchain Perspective",Blockchain,https://medium.com/@teckming.tan/the-law-blockchain-and-smart-contract-from-the-eu-blockchain-perspective-b416888e48e2?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,Rythm is a blockchain: what happened to the music industry revolution?,Blockchain,https://medium.com/swlh/rythm-is-a-blockchain-what-happened-to-the-music-industry-revolution-dfa6b33495e5?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,What Yom Kippur Taught Me About Bitcoin,Blockchain,https://medium.com/datadriveninvestor/what-yom-kippur-taught-me-about-bitcoin-4a47d113c3ea?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,Introduction to Staking,Blockchain,https://medium.com/swlh/introduction-to-staking-1836d4ac5495?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,Publicly Traded Blockchain Companies,Blockchain,https://medium.com/beyondhype/publicly-traded-blockchain-companies-5c97a0f28bf1?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,A post launch look at SIGMA performance,Blockchain,https://medium.com/swlh/a-post-launch-look-at-sigma-performance-70794d835b8c?source=topic_page---------14------------------1,-
Medium.com,Innovation & Tech,The Ethereum Casper project — Part 1,Blockchain,https://medium.com/belem-blockchain/the-ethereum-casper-project-part-1-dd8802d730e9?source=topic_page---------15------------------1,-
Medium.com,Innovation & Tech,Why the net giants are worried about the Web 3.0,Blockchain,https://medium.com/@cykablyatxoxol/why-the-net-giants-are-worried-about-the-web-3-0-efc57523ad05?source=topic_page---------16------------------1,-
Medium.com,Innovation & Tech,A Deeper Look Into Microsoft’s Stack to Bring Tokenization to Enterprise Blockchain Applications,Blockchain,https://medium.com/coinmonks/a-deeper-look-into-microsofts-stack-to-bring-tokenization-to-enterprise-blockchain-applications-166e2a56b1bf?source=topic_page---------17------------------1,-
Medium.com,Innovation & Tech,But is it real?,Blockchain,https://medium.com/@WilliamShatner/but-is-it-real-340ac8725a86?source=topic_page---------18------------------1,-
Medium.com,Innovation & Tech,Network Effects in Blockchain Games: Content Remains King,Blockchain,https://medium.com/zenith-ventures/network-effects-in-blockchain-games-content-remains-king-9057300b2a91?source=topic_page---------19------------------1,-
Medium.com,Innovation & Tech,Dummy Guides for Newby Workers in Blockchain Industries,Blockchain,https://medium.com/swlh/dummyguidetoworkinblockchain-f5669c0285db?source=topic_page---------20------------------1,-
Medium.com,Innovation & Tech,Do I Need A Ledger Database? What Is It?,Blockchain,https://medium.com/a-technologists-pov/do-i-need-a-ledger-database-what-is-it-6f3b7261238?source=topic_page---------21------------------1,-
Medium.com,Innovation & Tech,Alice in Cryptoland: The Fool’s Errand of Trying to Predict the Market with a Single Metric,Blockchain,https://medium.com/intotheblock/alice-in-cryptoland-the-fools-errand-of-trying-to-predict-the-market-with-a-single-metric-f0a76b615996?source=topic_page---------22------------------1,-
Medium.com,Innovation & Tech,Deribit Flash Crash | $1.3 mn good reasons for DIA Data,Blockchain,https://medium.com/swlh/deribit-flash-crash-1-3-mn-good-reasons-for-dia-data-704be91d2a3a?source=topic_page---------23------------------1,-
Medium.com,Innovation & Tech,What Blockchain and Google Maps Have In Common And What We Can Expect Next?,Blockchain,https://medium.com/@SamRadOfficial/what-blockchain-and-google-maps-have-in-common-and-what-we-can-expect-next-d049a72fb901?source=topic_page---------24------------------1,-
Medium.com,Innovation & Tech,Verify a smart contract with Archetype,Blockchain,https://medium.com/@benoit.rognier/verify-a-smart-contract-with-archetype-6e0ea548e2da?source=topic_page---------25------------------1,-
Medium.com,Innovation & Tech,Democratizing Africa through Blockchain,Blockchain,https://medium.com/swlh/democratizing-africa-through-blockchain-ebe49118876d?source=topic_page---------26------------------1,-
Medium.com,Innovation & Tech,How to keep data private on a blockchain,Blockchain,https://medium.com/ing-blog/how-to-keep-data-private-on-a-blockchain-252848ae228e?source=topic_page---------27------------------1,-
Medium.com,Innovation & Tech,"blockchain is dead, long live sir distributed ledger!",Blockchain,https://medium.com/swlh/blockchain-is-dead-long-live-sir-distributed-ledger-ad88eb35399b?source=topic_page---------28------------------1,-
Medium.com,Innovation & Tech,"Develop a Blockchain using Python, Flask & Postman: Part 1",Blockchain,https://medium.com/swlh/develop-a-blockchain-using-python-flask-postman-part-1-260c7d9b29ab?source=topic_page---------29------------------1,-
Medium.com,Innovation & Tech,Blockchain for Agriculture,Blockchain,https://medium.com/swlh/blockchain-for-agriculture-5b0a0baa0aa3?source=topic_page---------30------------------1,-
